gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,mn_sat,tuition,race,imprace,imprelig,from,zipcode,income,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,satis_2,length,numdat_2,attr7_2,sinc7_2,intel7_2,fun7_2,amb7_2,shar7_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2,you_call,them_cal,date_3,numdat_3,num_in_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr7_3,sinc7_3,intel7_3,fun7_3,amb7_3,shar7_3,attr4_3,sinc4_3,intel4_3,fun4_3,amb4_3,shar4_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,attr5_3,sinc5_3,intel5_3,fun5_3,amb5_3,id
1,34,2,9,20,7,17.0,11,18,211.0,1,0.25,1,28.0,2.0,16.36,16.36,18.18,18.18,16.36,14.55,6.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,1.0,42.0,International Affairs,13.0,,,,2.0,5.0,1.0,"Detroit, Michigan, USA","48,127","39,123.00",2.0,7.0,3.0,consulting,7.0,1.0,1.0,2.0,1.0,10.0,10.0,10.0,1.0,1.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,6.0,5.0,,23.81,23.81,23.81,23.81,2.38,2.38,10.0,10.0,10.0,10.0,10.0,10.0,16.67,16.67,16.67,16.67,16.67,16.67,6.0,6.0,6.0,6.0,6.0,,,,,,9.0,7.0,7.0,7.0,5.0,7.0,8.0,4.0,2.0,1.0,24.32,24.32,18.92,16.22,8.11,8.11,6.0,8.0,7.0,7.0,5.0,7.0,1.0,3.0,,,,,,,23.08,20.51,20.51,15.38,7.69,12.82,8.0,6.0,6.0,6.0,3.0,7.0,18.6,16.28,13.95,18.6,18.6,13.95,7.0,7.0,7.0,7.0,4.0,,,,,,3.0,2.0,0.0,,,18.92,21.62,21.62,16.22,10.81,10.81,,,,,,,8.0,8.0,8.0,8.0,8.0,8.0,6.0,5.0,5.0,7.0,7.0,,7.0,7.0,8.0,7.0,4.0,,,,,,4449
1,19,2,12,14,10,10.0,11,15,307.0,1,0.31,0,27.0,4.0,10.0,20.0,20.0,15.0,20.0,15.0,7.0,6.0,7.0,8.0,5.0,7.0,7.0,6.0,2.0,30.0,MBA,8.0,Engineering,,,2.0,1.0,1.0,Italy,"80,131",,1.0,4.0,1.0,International Development banker,7.0,8.0,1.0,5.0,10.0,6.0,10.0,4.0,3.0,8.0,4.0,1.0,10.0,10.0,8.0,9.0,1.0,1.0,7.0,,50.0,0.0,20.0,20.0,0.0,10.0,40.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,30.0,30.0,0.0,20.0,7.0,3.0,8.0,8.0,5.0,7.0,3.0,8.0,8.0,3.0,7.0,7.0,7.0,6.0,8.0,9.0,7.0,7.0,0.0,5.0,,,,,,,,,,,,5.0,1.0,3.0,,,,,,,40.0,0.0,20.0,20.0,0.0,20.0,40.0,0.0,20.0,20.0,0.0,20.0,20.0,10.0,20.0,20.0,10.0,20.0,7.0,4.0,8.0,8.0,7.0,7.0,6.0,8.0,8.0,7.0,0.0,1.0,0.0,,,50.0,0.0,15.0,20.0,0.0,15.0,50.0,0.0,15.0,20.0,0.0,15.0,40.0,0.0,15.0,20.0,0.0,25.0,35.0,15.0,20.0,10.0,10.0,10.0,7.0,3.0,7.0,8.0,6.0,7.0,6.0,7.0,8.0,6.0,1718
1,7,1,20,6,5,2.0,4,3,498.0,0,0.41,1,25.0,2.0,18.0,18.0,18.0,18.0,18.0,10.0,8.0,5.0,9.0,4.0,9.0,3.0,5.0,5.0,2.0,23.0,Computer Science,5.0,Swarthmore College,"1,460.00","26,376.00",2.0,1.0,1.0,Maryland,"20,782","35,848.00",2.0,5.0,2.0,consultant,7.0,1.0,1.0,2.0,4.0,4.0,4.0,8.0,1.0,3.0,6.0,1.0,5.0,6.0,7.0,7.0,3.0,1.0,7.0,,30.0,0.0,30.0,15.0,15.0,10.0,50.0,10.0,10.0,20.0,0.0,10.0,30.0,10.0,10.0,20.0,20.0,10.0,7.0,5.0,6.0,8.0,8.0,7.0,5.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,0.0,3.0,8.0,0.0,6.0,8.0,4.0,5.0,7.0,7.0,7.0,5.0,7.0,2.0,1.0,1.0,30.0,0.0,50.0,20.0,0.0,0.0,40.0,0.0,40.0,10.0,0.0,10.0,50.0,0.0,10.0,40.0,0.0,0.0,30.0,20.0,20.0,20.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5286
1,13,1,20,6,6,7.0,6,5,500.0,0,0.11,0,25.0,1.0,10.0,15.0,35.0,15.0,10.0,15.0,7.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,2.0,36.0,math of finance,2.0,Columbia,"1,430.00","26,908.00",4.0,1.0,5.0,New York,"10,804","87,789.00",3.0,5.0,1.0,unsure,10.0,10.0,4.0,7.0,6.0,4.0,4.0,4.0,9.0,7.0,10.0,3.0,5.0,4.0,7.0,10.0,4.0,8.0,7.0,,18.0,10.0,18.0,18.0,18.0,18.0,35.0,10.0,10.0,25.0,10.0,10.0,15.0,20.0,20.0,20.0,15.0,10.0,7.0,8.0,8.0,9.0,8.0,7.0,7.0,10.0,7.0,8.0,5.0,9.0,9.0,7.0,8.0,5.0,7.0,7.0,0.0,3.0,8.0,7.0,10.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,6.0,1.0,1.0,10.0,10.0,20.0,35.0,10.0,15.0,18.0,10.0,18.0,18.0,18.0,18.0,25.0,10.0,10.0,25.0,10.0,20.0,17.0,20.0,15.0,20.0,18.0,10.0,8.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6603
1,24,2,7,16,5,5.0,1,14,155.0,0,0.23,1,27.0,2.0,15.09,18.87,18.87,16.98,16.98,13.21,8.0,8.0,8.0,7.0,8.0,6.0,8.0,5.0,2.0,28.0,Microbiology,10.0,,,,2.0,2.0,3.0,"Buffalo, NY","14,227","31,383.00",2.0,6.0,2.0,"Research scientist, professor",2.0,10.0,7.0,8.0,9.0,9.0,7.0,7.0,1.0,6.0,4.0,2.0,7.0,6.0,8.0,8.0,4.0,4.0,6.0,,17.78,20.0,17.78,15.56,15.56,13.33,10.0,6.0,7.0,9.0,6.0,9.0,20.0,15.56,17.78,17.78,15.56,13.33,7.0,9.0,7.0,8.0,7.0,,,,,,9.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,0.0,,,,,,,,,,,,,6.0,1.0,1.0,,,,,,,18.75,18.75,16.67,16.67,14.58,14.58,9.0,7.0,7.0,9.0,6.0,7.0,18.75,18.75,16.67,16.67,14.58,14.58,8.0,9.0,8.0,7.0,7.0,,,,,,1.0,0.0,0.0,,,16.33,18.37,18.37,16.33,16.33,14.29,,,,,,,10.0,7.0,7.0,8.0,7.0,7.0,9.0,9.0,9.0,9.0,8.0,,8.0,9.0,8.0,7.0,7.0,,,,,,3567
1,12,1,10,9,7,7.0,2,5,238.0,0,0.14,0,27.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,9.0,8.0,9.0,8.0,9.0,7.0,8.0,7.0,2.0,27.0,Business,8.0,Cornell,"1,360.00","26,062.00",6.0,1.0,1.0,San Francisco,"92,037","49,841.00",1.0,4.0,1.0,Trader,7.0,7.0,1.0,8.0,7.0,5.0,1.0,8.0,6.0,8.0,6.0,3.0,7.0,7.0,4.0,7.0,6.0,1.0,6.0,,25.0,15.0,20.0,20.0,15.0,5.0,35.0,5.0,15.0,30.0,5.0,10.0,20.0,15.0,15.0,25.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,5.0,8.0,6.0,8.0,7.0,6.0,8.0,7.0,7.0,6.0,3.0,7.0,5.0,0.0,2.0,20.0,10.0,15.0,20.0,20.0,15.0,6.0,7.0,7.0,8.0,8.0,7.0,3.0,3.0,,,,,,,20.0,10.0,10.0,20.0,15.0,15.0,30.0,10.0,20.0,25.0,10.0,5.0,20.0,10.0,20.0,20.0,20.0,10.0,5.0,6.0,8.0,7.0,8.0,6.0,7.0,7.0,8.0,6.0,2.0,0.0,1.0,2.0,,25.0,10.0,20.0,20.0,15.0,10.0,25.0,5.0,25.0,25.0,15.0,5.0,25.0,15.0,10.0,25.0,10.0,15.0,20.0,15.0,15.0,25.0,20.0,5.0,6.0,6.0,8.0,8.0,9.0,6.0,7.0,7.0,8.0,5.0,4643
1,8,2,12,14,5,5.0,10,2,295.0,0,0.19,0,30.0,2.0,10.0,18.0,20.0,16.0,16.0,20.0,7.0,7.0,,7.0,,,7.0,5.0,2.0,29.0,Finance/Economics,8.0,Columbia College,"1,430.00","26,908.00",4.0,1.0,1.0,New York,"11,746","57,513.00",2.0,6.0,1.0,Entrepreneur,7.0,10.0,8.0,9.0,10.0,7.0,6.0,8.0,9.0,1.0,7.0,4.0,6.0,8.0,10.0,10.0,9.0,8.0,8.0,,50.0,20.0,10.0,10.0,5.0,5.0,50.0,10.0,20.0,5.0,5.0,10.0,20.0,20.0,20.0,10.0,10.0,20.0,9.0,9.0,10.0,9.0,3.0,9.0,5.0,5.0,10.0,2.0,4.0,5.0,5.0,5.0,7.0,8.0,6.0,6.0,0.0,4.0,,,,,,,,,,,,7.0,1.0,2.0,,,,,,,50.0,20.0,5.0,10.0,5.0,10.0,50.0,15.0,10.0,5.0,10.0,10.0,20.0,10.0,25.0,10.0,20.0,15.0,9.0,9.0,9.0,10.0,3.0,8.0,8.0,9.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5909
1,20,2,17,11,13,8.0,5,9,438.0,0,0.12,0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,7.0,7.0,8.0,8.0,7.0,4.0,6.0,5.0,2.0,23.0,Law,1.0,Princeton,"1,460.00","27,230.00",6.0,7.0,1.0,New York,"11,552","52,280.00",1.0,3.0,1.0,Business/Law,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,,55.0,2.0,1.0,40.0,1.0,1.0,55.0,2.0,1.0,40.0,1.0,1.0,25.0,1.0,13.0,44.0,11.0,6.0,7.0,10.0,10.0,10.0,8.0,7.0,9.0,9.0,10.0,8.0,7.0,9.0,8.0,8.0,7.0,6.0,8.0,8.0,2.0,3.0,50.0,6.0,9.0,35.0,0.0,0.0,7.0,10.0,10.0,10.0,8.0,8.0,1.0,3.0,50.0,9.0,8.0,23.0,3.0,2.0,50.0,8.0,8.0,33.0,0.0,1.0,50.0,8.0,8.0,33.0,0.0,1.0,30.0,10.0,12.0,30.0,10.0,8.0,7.0,10.0,10.0,10.0,8.0,7.0,8.0,9.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5295
0,5,1,5,10,7,,2,7,128.0,1,0.34,0,21.0,2.0,40.0,15.0,10.0,20.0,10.0,5.0,7.0,9.0,9.0,8.0,8.0,7.0,7.0,8.0,2.0,20.0,"Economics, English",8.0,,,,1.0,2.0,4.0,New York,,,2.0,7.0,4.0,,,6.0,8.0,3.0,4.0,4.0,3.0,5.0,2.0,6.0,8.0,7.0,6.0,7.0,6.0,9.0,2.0,2.0,6.0,,20.0,20.0,20.0,20.0,10.0,10.0,,,,,,,30.0,10.0,20.0,20.0,10.0,10.0,7.0,9.0,8.0,6.0,7.0,,,,,,8.0,6.0,7.0,8.0,7.0,5.0,8.0,8.0,2.0,3.0,,,,,,,,,,,,4.0,3.0,2.0,,,,,,,20.0,20.0,20.0,20.0,10.0,10.0,,,,,,,,,,,,,7.0,9.0,8.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5934
1,10,2,11,21,14,14.0,14,12,263.0,0,-0.08,0,26.0,1.0,20.0,20.0,20.0,10.0,20.0,10.0,8.0,8.0,8.0,8.0,8.0,0.0,7.0,0.0,2.0,25.0,Genetics & Development,10.0,RPI,"1,308.00","25,555.00",2.0,1.0,1.0,Connecticut,"6,098",,1.0,7.0,5.0,Professor,2.0,10.0,6.0,10.0,5.0,8.0,8.0,10.0,5.0,3.0,8.0,2.0,7.0,8.0,6.0,6.0,1.0,2.0,5.0,,60.0,20.0,0.0,20.0,0.0,0.0,40.0,10.0,10.0,20.0,10.0,10.0,50.0,0.0,0.0,0.0,50.0,0.0,4.0,8.0,8.0,8.0,5.0,4.0,8.0,8.0,8.0,5.0,6.0,8.0,7.0,8.0,,3.0,8.0,1.0,0.0,2.0,60.0,10.0,5.0,20.0,0.0,5.0,4.0,8.0,8.0,8.0,5.0,6.0,1.0,2.0,,,,,,,60.0,10.0,0.0,20.0,0.0,10.0,50.0,0.0,0.0,30.0,0.0,20.0,50.0,0.0,0.0,0.0,50.0,0.0,4.0,8.0,8.0,8.0,5.0,4.0,8.0,8.0,8.0,5.0,1.0,0.0,1.0,1.0,,60.0,20.0,0.0,20.0,0.0,0.0,60.0,20.0,0.0,20.0,0.0,0.0,60.0,0.0,0.0,20.0,0.0,20.0,50.0,0.0,0.0,0.0,50.0,0.0,4.0,8.0,8.0,8.0,6.0,4.0,8.0,7.0,8.0,7.0,7342
1,44,2,21,22,3,10.0,16,21,529.0,0,0.62,0,22.0,4.0,10.0,25.0,25.0,10.0,10.0,20.0,5.0,7.0,5.0,5.0,3.0,6.0,6.0,4.0,2.0,25.0,Climate Dynamics,18.0,"Ecole Normale Suprieure, Paris",,,2.0,1.0,1.0,France,"78,110",,1.0,2.0,1.0,assistant master of the universe (otherwise it's too much work),15.0,8.0,2.0,5.0,10.0,10.0,10.0,7.0,1.0,9.0,8.0,3.0,7.0,9.0,10.0,10.0,7.0,3.0,10.0,,70.0,0.0,15.0,15.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,0.0,30.0,0.0,20.0,8.0,7.0,6.0,7.0,7.0,9.0,7.0,10.0,5.0,9.0,4.0,6.0,5.0,4.0,,5.0,5.0,5.0,0.0,3.0,,,,,,,,,,,,5.0,1.0,2.0,70.0,0.0,15.0,10.0,0.0,5.0,70.0,0.0,15.0,10.0,0.0,5.0,80.0,0.0,5.0,5.0,0.0,10.0,50.0,5.0,10.0,20.0,5.0,10.0,9.0,3.0,7.0,6.0,9.0,9.0,3.0,9.0,4.0,7.0,2.0,0.0,0.0,,1.0,70.0,0.0,20.0,10.0,0.0,0.0,70.0,0.0,20.0,10.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0,10.0,50.0,5.0,10.0,20.0,10.0,5.0,8.0,5.0,7.0,6.0,7.0,9.0,5.0,9.0,5.0,6.0,2378
0,7,1,3,10,8,,9,10,75.0,0,,0,24.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140
1,23,2,12,14,14,14.0,4,5,298.0,0,-0.26,1,22.0,2.0,10.0,30.0,20.0,10.0,15.0,15.0,6.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,2.0,26.0,Curriculum and Teaching/Giftedness,9.0,Penn State University,"1,260.00","14,388.00",2.0,2.0,4.0,New Jersey,"7,624",,6.0,7.0,2.0,I am a teacher.,2.0,8.0,7.0,5.0,7.0,5.0,4.0,8.0,7.0,1.0,5.0,7.0,2.0,2.0,10.0,9.0,2.0,3.0,7.0,,20.0,25.0,20.0,10.0,5.0,20.0,25.0,5.0,10.0,15.0,15.0,30.0,35.0,5.0,5.0,15.0,30.0,10.0,5.0,10.0,6.0,9.0,3.0,4.0,7.0,8.0,8.0,9.0,7.0,8.0,8.0,5.0,6.0,5.0,6.0,7.0,,2.0,,,,,,,,,,,,10.0,1.0,3.0,,,,,,,30.0,20.0,15.0,20.0,5.0,10.0,40.0,10.0,5.0,25.0,15.0,5.0,30.0,10.0,5.0,25.0,20.0,10.0,6.0,8.0,9.0,10.0,6.0,6.0,7.0,7.0,8.0,7.0,2.0,1.0,0.0,,1.0,25.0,15.0,25.0,15.0,5.0,15.0,10.0,30.0,10.0,20.0,10.0,20.0,20.0,5.0,5.0,30.0,30.0,10.0,25.0,10.0,10.0,20.0,25.0,10.0,5.0,7.0,9.0,6.0,6.0,4.0,6.0,7.0,5.0,2.0,4440
0,13,2,14,18,14,14.0,8,13,373.0,0,0.37,0,29.0,3.0,75.0,5.0,5.0,10.0,0.0,5.0,4.0,3.0,4.0,2.0,2.0,0.0,2.0,4.0,2.0,26.0,EDUCATION,9.0,HOWARD UNIVERSITY,,"10,222.00",1.0,1.0,1.0,"WASHINGTON, D.C.","20,001","19,264.00",5.0,6.0,1.0,GOVERNOR,13.0,1.0,1.0,2.0,10.0,3.0,3.0,1.0,1.0,8.0,2.0,5.0,3.0,8.0,1.0,7.0,10.0,1.0,5.0,,30.0,5.0,10.0,20.0,30.0,5.0,30.0,5.0,10.0,20.0,30.0,5.0,30.0,5.0,10.0,20.0,30.0,5.0,8.0,6.0,10.0,10.0,10.0,10.0,2.0,10.0,8.0,9.0,9.0,8.0,8.0,7.0,6.0,5.0,7.0,3.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6915
1,28,2,15,18,15,10.0,6,14,392.0,0,-0.26,1,26.0,2.0,15.0,20.0,15.0,30.0,10.0,10.0,9.0,9.0,10.0,8.0,9.0,7.0,9.0,6.0,2.0,27.0,Business,8.0,Cornell University,"1,360.00","26,062.00",2.0,8.0,8.0,"Austin, TX","10,021","55,080.00",1.0,5.0,1.0,business,7.0,10.0,8.0,5.0,8.0,1.0,1.0,8.0,10.0,1.0,8.0,2.0,2.0,4.0,4.0,5.0,1.0,1.0,5.0,,20.0,20.0,20.0,20.0,10.0,10.0,50.0,10.0,10.0,10.0,5.0,5.0,30.0,10.0,10.0,20.0,10.0,10.0,7.0,10.0,6.0,10.0,10.0,7.0,10.0,10.0,5.0,10.0,5.0,10.0,5.0,6.0,6.0,5.0,6.0,5.0,2.0,2.0,30.0,10.0,30.0,10.0,15.0,15.0,8.0,10.0,10.0,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2965
0,29,2,7,16,7,7.0,16,2,159.0,0,0.4,0,28.0,2.0,15.91,20.45,20.45,20.45,11.36,11.36,6.0,7.0,7.0,5.0,5.0,,5.0,3.0,2.0,30.0,Business,8.0,,,,1.0,1.0,1.0,"Atlanta, GA","27,870","21,590.00",2.0,6.0,3.0,Marketing and Media,7.0,3.0,7.0,10.0,10.0,10.0,10.0,8.0,7.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,6.0,,14.0,18.0,16.0,18.0,18.0,16.0,10.0,8.0,8.0,10.0,8.0,9.0,18.87,15.09,15.09,18.87,15.09,16.98,8.0,10.0,10.0,9.0,10.0,,,,,,3.0,10.0,10.0,6.0,10.0,3.0,3.0,3.0,0.0,5.0,14.89,19.15,19.15,14.89,19.15,12.77,8.0,10.0,9.0,9.0,10.0,8.0,3.0,3.0,,,,,,,14.29,16.33,18.37,18.37,18.37,14.29,9.0,8.0,9.0,8.0,9.0,9.0,20.41,14.29,14.29,18.37,14.29,18.37,8.0,9.0,9.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4177
0,31,2,14,18,4,4.0,5,15,375.0,0,0.55,1,27.0,2.0,30.0,20.0,15.0,15.0,8.0,12.0,6.0,8.0,8.0,5.0,5.0,3.0,6.0,4.0,2.0,27.0,Counseling Psychology,3.0,Lafayette College,"1,260.00","24,921.00",2.0,2.0,4.0,Pennsylvania,"18,103","31,516.00",1.0,7.0,2.0,Psychologist,3.0,10.0,9.0,8.0,10.0,8.0,5.0,7.0,1.0,5.0,8.0,9.0,8.0,9.0,7.0,10.0,5.0,6.0,4.0,,15.0,25.0,20.0,20.0,0.0,20.0,30.0,10.0,15.0,15.0,30.0,0.0,50.0,0.0,20.0,25.0,0.0,5.0,7.0,10.0,8.0,9.0,6.0,7.0,10.0,9.0,7.0,9.0,5.0,6.0,6.0,5.0,,5.0,4.0,4.0,0.0,1.0,,,,,,,,,,,,6.0,1.0,3.0,,,,,,,20.0,25.0,20.0,10.0,5.0,20.0,40.0,0.0,20.0,10.0,30.0,0.0,60.0,0.0,15.0,15.0,0.0,10.0,7.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6642
1,28,2,2,19,14,,2,19,38.0,0,0.22,0,23.0,1.0,50.0,10.0,20.0,10.0,10.0,0.0,3.0,9.0,9.0,3.0,9.0,5.0,2.0,1.0,2.0,28.0,Medicine,4.0,,,,2.0,2.0,2.0,Boston,"8,071",,2.0,6.0,2.0,Medicine,4.0,8.0,4.0,3.0,10.0,9.0,8.0,8.0,4.0,4.0,9.0,5.0,7.0,9.0,9.0,9.0,7.0,3.0,6.0,9.0,40.0,15.0,20.0,10.0,5.0,10.0,,,,,,,30.0,15.0,20.0,15.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,,,,,,6.0,9.0,9.0,8.0,9.0,6.0,6.0,6.0,2.0,8.0,,,,,,,,,,,,8.0,3.0,3.0,,,,,,,55.0,10.0,10.0,15.0,0.0,10.0,,,,,,,,,,,,,8.0,9.0,8.0,8.0,8.0,,,,,,1.0,0.0,0.0,,,35.0,5.0,20.0,20.0,5.0,15.0,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,8.0,8.0,,,,,,3143
1,27,2,12,14,3,3.0,9,8,301.0,0,0.63,1,34.0,2.0,20.0,20.0,20.0,20.0,10.0,10.0,6.0,6.0,7.0,7.0,9.0,6.0,7.0,6.0,2.0,29.0,Business,8.0,Ecole Superieure d'Electricite,,,2.0,3.0,3.0,France  / New York,0,,1.0,5.0,1.0,Finance,7.0,7.0,4.0,4.0,8.0,5.0,5.0,4.0,2.0,7.0,5.0,2.0,6.0,8.0,6.0,7.0,2.0,1.0,6.0,,30.0,15.0,15.0,20.0,10.0,10.0,25.0,15.0,15.0,15.0,15.0,15.0,40.0,10.0,10.0,30.0,5.0,5.0,6.0,8.0,7.0,7.0,8.0,6.0,8.0,7.0,7.0,8.0,6.0,7.0,8.0,7.0,5.0,5.0,7.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5012
0,1,2,19,15,3,3.0,3,4,484.0,0,0.43,0,31.0,4.0,16.0,16.0,20.0,16.0,16.0,16.0,10.0,6.0,10.0,10.0,,,8.0,3.0,2.0,24.0,working,18.0,Barnard College,"1,330.00","2,406.00",2.0,1.0,1.0,Texas/London,"77,077","42,967.00",6.0,7.0,1.0,unknown,10.0,4.0,2.0,9.0,8.0,5.0,6.0,4.0,3.0,2.0,8.0,5.0,5.0,7.0,6.0,8.0,4.0,2.0,5.0,,10.0,20.0,20.0,15.0,20.0,15.0,25.0,15.0,15.0,20.0,10.0,15.0,45.0,5.0,15.0,15.0,10.0,10.0,7.0,9.0,7.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0,2.0,3.0,7.0,0.0,8.0,0.0,2.0,2.0,0.0,0.0,7.0,7.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0,7.0,8.0,2.0,1.0,2.0,40.0,5.0,5.0,5.0,5.0,40.0,25.0,15.0,15.0,15.0,10.0,30.0,20.0,15.0,15.0,15.0,10.0,25.0,30.0,10.0,10.0,15.0,10.0,25.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2915
1,2,2,7,16,15,9.0,7,13,154.0,0,-0.26,1,27.0,2.0,15.38,17.31,17.31,17.31,17.31,15.38,5.0,8.0,10.0,5.0,8.0,7.0,5.0,5.0,2.0,23.0,physics (astrophysics),10.0,,,,2.0,3.0,4.0,NYC (Staten Island),"10,301","37,248.00",4.0,6.0,2.0,"physicist, probably academia",2.0,2.0,4.0,4.0,6.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,5.0,8.0,4.0,9.0,5.0,1.0,7.0,,19.05,19.05,19.05,19.05,9.52,14.29,9.0,7.0,6.0,7.0,4.0,8.0,15.22,19.57,19.57,19.57,8.7,17.39,7.0,9.0,7.0,9.0,6.0,,,,,,9.0,9.0,7.0,8.0,7.0,6.0,8.0,4.0,0.0,4.0,20.93,16.28,18.6,18.6,11.63,13.95,6.0,8.0,9.0,7.0,6.0,8.0,1.0,2.0,,,,,,,17.78,20.0,20.0,17.78,11.11,13.33,9.0,8.0,6.0,7.0,5.0,7.0,15.22,19.57,19.57,17.39,10.87,17.39,6.0,9.0,9.0,7.0,6.0,,,,,,0.0,0.0,0.0,,,16.28,18.6,18.6,16.28,11.63,18.6,,,,,,,9.0,7.0,7.0,9.0,7.0,7.0,8.0,8.0,8.0,9.0,7.0,,7.0,8.0,9.0,8.0,7.0,,,,,,2240
